code	alias	desc
3005	_IpVend	End velocity 127
3006	_IpFeed	Feed motion velocity 127
3008	_IpMaxVel	Maximum programmable velocity 127
3009	_IpMaxAcc	Maximum programmable acceleration 127
3010	_IpDim	Number of interpolation axes 127
3011	_IpUnit	Specification for trajectory commands 127
3012	_IpLeft	Look Ahead, number of remaining cycles 128
3013	_IpLaFact	Look Ahead, factor for acceleration 128
3014	_IpLaCvFact	Look Ahead, factor for circular acceleration 128
3015	_IpLaTprof	Look Ahead, running time 128
3017	_IpTrigger	Distance in UU 128
3018	_IpTrgTime	Duty cycle of the output 129
3019	_IpTrgOutp	Address of the digital output 129
3063	_IpVelo	Present trajectory velocity 129
3075	_IpOvr	Override present trajectory velocity 129
3076	_IpOmode	Override mode 129
4000	_InPolarity	Polarity of the digital inputs 130
4001	_OutPolarity	Polarity of the digital outputs 130
4002	_InPortExist	Inquiry whether the entry ports address is available 130
4003	_OutPortExist	Inquiry whether the output ports address is available 131
